name,team,battingStyle,playingRole,bowlingStyle,description
Andries Gous,U.S.A,Right hand Bat,Wicketkeeper,,
Rohit Sharma(c),India,Right hand Bat,Top order Batter,Right arm Offbreak,
Kuldeep Yadav,India,Left hand Bat,Bowler,Left arm Wrist spin,
Matt Henry,New Zealand,Right hand Bat,Bowler,Right arm Fast medium,"A slippery fast bowler, Matt Henry almost didn't play for New Zealand, as he underwent a major back surgery in 2012. Two years later, though, he was called up as cover during the ODI series against India, and thanks to a niggle to fellow injury-prone Hamish Bennett, Henry put the black cap on and registered the third-best figures for a New Zealand debutant in ODIs, claiming four wickets to seal New Zealand's 4-0 series triumph."
Robinson Obuya,Uganda,Right hand Bat,Batter,,
Gudakesh Motie,West Indies,Left hand Bat,Bowler,Slow Left arm Orthodox,
Mustafizur Rahman,Bangladesh,Left hand Bat,Bowler,Left arm Fast medium,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. "
Babar Azam(c),Pakistan,Right hand Bat,Batter,Right arm Offbreak,"A right-hand, top-order batsman known for his discipline and level-headed attitude, Babar Azam laid claim to a long-term spot in Pakistan's batting line-up with a strong performance in 2016, making three consecutive ODI hundreds against West Indies in the UAE, and a 90 in his third Test, in Hamilton. He was 22 years old at the time."
Nuwan Thushara,Sri Lanka,Right hand Bat,Bowler,Right arm Medium fast,
Roston Chase,West Indies,Right hand Bat,Allrounder,Right arm Offbreak,"A tall offspin-bowling allrounder from Barbados, Roston Chase won a place in West Indies' Test team after strong showings with bat and ball in the 2015-16 Professional Cricket League. He scored 710 runs in ten matches at an average of 59.16, bowled more than he ever had in the past, and took 23 wickets at an average of 17.26 (including twin five-fors in a match against Guyana)."
Dilon Heyliger,Canada,Right hand Bat,Bowler,Right arm Medium,
Jack Brassell,Namibia,Right hand Bat,Bowler,Right arm Medium,
Saad Bin Zafar(c),Canada,Left hand Bat,Allrounder,Slow Left arm Orthodox,"The Pakistan-born Saad Bin Zafar earned the honour of being Canada's first captain at the T20 World Cup in 2024. That was a culmination of a long career with Canada that started with a first-class debut in 2008 before representing the team consistently in all formats.As a slow left-arm spinner and left-hand batter, Saad has also been part of the Caribbean Premier League, representing St Lucia Zouks. In November 2021, he entered the record books as the first man to concede no run in a four-over spell in a T20I when he finished with figures of 4-4-0-2 against Panama.Sreshth Shah"
Marco Jansen,South Africa,Right hand Bat,Bowling Allrounder,Left arm Medium fast,"At 2.06 metres tall, Marco Jansen's height immediately marks him out as a fast bowler but he began his cricket career as a batter. Jansen's first coach was his father, Koos, who trained both him and his twin brother Duan in their home town of Potchefstroom. At the age of 17, the pair were picked to bowl to the touring Indian side in the nets and impressed the likes of Virat Kohli with his pace and accuracy. "
Rishabh Pant,India,Left hand Bat,Wicketkeeper Batter,,
George Dockrell,Ireland,Right hand Bat,Allrounder,Slow Left arm Orthodox,"Left-arm spinner George Dockrell made his international debut for Ireland as a 17-year-old in 2010 though he had been bowling spin for only four years at that point, after coach Brian O'Rourke spotted him having a bowl in a car park during an Ireland age-group tour of Wales. "
Ruben Trumpelmann,Namibia,Right hand Bat,Bowler,Left arm Fast,
Kabua Morea,Papua New Guinea,Right hand Bat,Bowler,Left arm Medium,
Fred Achelam,Uganda,Right hand Bat,Wicketkeeper Batter,,
Pargat Singh,Canada,Right hand Bat,Allrounder,Right arm Offbreak,
Mohammed Siraj,India,Right hand Bat,Bowler,Right arm Fast,"Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand. "
Shreyas Movva,Canada,Right hand Bat,Wicketkeeper Batter,,
Aqib Ilyas,Oman,Right hand Bat,Top order Batter,"Right arm Offbreak, Legbreak Googly",
Craig Young,Ireland,Right hand Bat,Bowler,Right arm Fast medium,"One of a number of players to emerge out of Ireland's robust Under-19 squads from the early 2010s, Craig Young became the ninth bowler to take a five-for on men's ODI debut when he demolished Scotland in Malahide in September 2014. It was a well-timed performance for Young, considering he had just lost his county contract with Sussex and parlayed that into a Cricket Ireland central contract. "
Dasun Shanaka,Sri Lanka,Right hand Bat,Allrounder,Right arm Medium,"An explosive middle-order batsman, and steady right-arm seam bowler, Dasun Shanaka worked his way into Sri Lanka's T20 side through several seasons of good performances for Sinhalese Sports Club. Born and educated in Negombo, Shanaka made his T20 international debut against Pakistan in August 2015, but it wasn't until the following domestic season that he achieved wide acclaim. Batting at No. 4 in an AIA Premier T20 match against Saracens Sports Club, Shanaka struck a Sri Lankan record 16 sixes in an innings worth 123 from 46 balls. That wasn't even his biggest T20 score of the last week. He had hit 131 off 48 balls against Galle Cricket Club one week earlier."
Mohammad Nabi,Afghanistan,Right hand Bat,Allrounder,Right arm Offbreak,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage."
Chris Greaves,Scotland,Right hand Bat,Bowler,Legbreak,
Hardik Pandya,India,Right hand Bat,Allrounder,Right arm Medium fast,
Charles Amini,Papua New Guinea,Left hand Bat,Allrounder,Legbreak,"CJ Amini comes from a long line of Papua New Guinea cricketing royalty. The third generation of his family to represent the country in cricket, CJ's grandfather Brian and father Charles were both national captains, as was his mother, Kune, for the women's side. His older brother Chris also captained the men's side, while his aunt Cheryl and other brother Colin played for representative PNG sides, leaving little doubt about CJ's future career path."
Vikramjit Singh,Netherlands,Left hand Bat,Opening Batter,Right arm Medium,
Bernard Scholtz,Namibia,Right hand Bat,Bowler,Slow Left arm Orthodox,"Bernard Scholtz's brother Nicolaas is currently playing for the national side, but Bernard has his chance to impress at the forthcoming Under-19 World Cup in Malaysia. His aim, he says, is ""to compete against the top teams of the world and get exposure to a higher level of cricket"". And that goal moved a step closer in 2008 when he was named in the squad to face Bermuda in the Intercontinental Cup. He has represented Namibia A and is interested in becoming an engineer. Will Luke August 2008"
Gerhard Erasmus(c),Namibia,Right hand Bat,Allrounder,Right arm Offbreak,
Frank Nsubuga,Uganda,Right hand Bat,Allrounder,Right arm Offbreak,"An offspinning allrounder whose swashbuckling knocks in the lower middle order complement his miserly bowling, Frank Nsubuga made his international debut playing for East and Central Africa in the 1997 ICC Trophy, aged just 16. He soon established his place in the national side, making his first-class debut against Namibia in the Intercontinental Cup in 2004 and earning himself a Man of the Match award as Uganda won by five wickets. Nsubuga steered his team to victory in the World Cricket League final against Argentina three years later, starring with both bat and ball, and has since settled into his role as a senior player for Uganda across all formats.
Liam Brickhill May 2011 "
Jonny Bairstow,England,Right hand Bat,Wicketkeeper Batter,Right arm Medium,
Suryakumar Yadav,India,Right hand Bat,Batter,"Right arm Medium, Right arm Offbreak",
